metric,value
note,"WLS-DTI is used as a reference, not as training supervision."
subject_id,131217
final_train_MSE,0.00042332410331532037
device,cuda
batch_size_used,8192
DTI/FA_MAE,0.10042243832037513
DTI/FA_RMSE,0.1453945908267118
DTI/MD_MAE,0.00014951910360284565
DTI/MD_RMSE,0.0002300435690339836
DTI/AD_MAE,0.00018884052208409247
DTI/AD_RMSE,0.000267584612531024
DTI/RD_MAE,0.00015930515485265565
DTI/RD_RMSE,0.00023581585540975188
DTI/V1_ang_mean_deg,36.83575768970587
DTI/V1_ang_median_deg,31.42930252877324
signal/signal_MSE,0.0004190153849776834
signal/signal_MAE,0.01550338976085186
signal/signal_PSNR,22.620498510952764
