metric,value
note,"WLS-DTI is used as a reference, not as training supervision."
subject_id,130316
model,SpatialDTIParamField
hash_backend,torch
device,cuda
batch_size_used,4096
epochs_run,43
final_train_MSE,0.00023871326291178963
best_val_MSE,0.0004810131460544653
comparison_slice_z,59
FA_MAE,0.06455317318774681
FA_RMSE,0.10574948342313377
MD_MAE,9.191658905886673e-05
MD_RMSE,0.00016611434038333263
AD_MAE,0.0001154941395717257
AD_RMSE,0.00018983743131626682
RD_MAE,9.509471445139851e-05
RD_RMSE,0.0001674793462239662
V1_angular_error,26.30527332621658
V1_angular_error_median,17.77221229430657
Signal_MSE,0.000287803792161867
Signal_MAE,0.012969777919352055
PSNR,25.287783316737425
